Motor,Jogos por concurso,Concursos auditados,Total de jogos auditados,Melhor acerto,Concurso do melhor resultado,Melhor jogo encontrado,Jogos com 11 pontos,Taxa 11 pontos (%),Jogos com 12 pontos,Taxa 12 pontos (%),Jogos com 13 pontos,Taxa 13 pontos (%),Jogos com 14 pontos,Taxa 14 pontos (%),Jogos com 15 pontos,Taxa 15 pontos (%)
Motor Elite V1,1,3595,3595,13,2964,01 - 03 - 04 - 05 - 09 - 10 - 11 - 12 - 13 - 14 - 18 - 20 - 22 - 24 - 25,333,9.2629,63,1.7524,9,0.2503,0,0.0,0,0.0
Elite V2 Top 1,1,3595,3595,13,2709,01 - 02 - 03 - 05 - 09 - 10 - 11 - 13 - 14 - 18 - 19 - 21 - 22 - 24 - 25,307,8.539638,65,1.808067,3,0.083449,0,0.0,0,0.0
Elite V2 Top 5,5,3595,17975,13,3355,01 - 02 - 03 - 05 - 09 - 10 - 11 - 13 - 14 - 18 - 19 - 20 - 22 - 24 - 25,1635,9.095967,293,1.630042,25,0.139082,0,0.0,0,0.0
Elite V2 Top 10,10,3595,35950,13,3355,01 - 02 - 03 - 05 - 09 - 10 - 11 - 13 - 14 - 18 - 19 - 20 - 22 - 24 - 25,3215,8.942976,601,1.671766,51,0.141864,0,0.0,0,0.0
Aleatorio,1,3595,3595,13,53,01 - 02 - 03 - 05 - 06 - 07 - 08 - 09 - 11 - 12 - 14 - 17 - 19 - 20 - 23,320,8.9013,63,1.7524,8,0.2225,0,0.0,0,0.0
