Divisão,Concursos avaliados,Melhor acerto,Pior acerto,Média de acertos,Desvio padrão,Jogos 11+,Jogos 12+,Jogos 13+,Jogos 14+,Jogos 15+,Taxa 11+ (%),Taxa 12+ (%),Taxa 13+ (%),Taxa 14+ (%),Taxa 15+ (%),Maior sequência premiada (11+),Maior sequência sem prêmio (<11),Margem de busca média
9+6,3625,13,5,9.0223,1.2022,405,65,10,0,0,11.1724,1.7931,0.2759,0.0,0.0,3,59,0.2303
8+7,3625,14,5,9.0188,1.2003,366,73,8,1,0,10.0966,2.0138,0.2207,0.0276,0.0,4,75,0.2331
10+5,3625,13,5,9.0086,1.2113,392,55,4,0,0,10.8138,1.5172,0.1103,0.0,0.0,3,62,0.2394
11+4,3625,13,5,9.0014,1.2204,386,54,5,0,0,10.6483,1.4897,0.1379,0.0,0.0,4,62,0.2383
