Motor,Jogos por concurso,Total de jogos auditados,Melhor acerto,Concurso do melhor resultado,Melhor jogo encontrado,Jogos com 11 pontos,Taxa 11 pontos (%),Jogos com 12 pontos,Taxa 12 pontos (%),Jogos com 13 pontos,Taxa 13 pontos (%),Jogos com 14 pontos,Taxa 14 pontos (%),Jogos com 15 pontos,Taxa 15 pontos (%),Perfil
Elite V1,1,3595,13,2964,01 - 03 - 04 - 05 - 09 - 10 - 11 - 12 - 13 - 14 - 18 - 20 - 22 - 24 - 25,333,9.2629,63,1.7524,9,0.2503,0,0.0,0,0.0,
Elite V2,15504,55736880,15,1639,01 - 03 - 05 - 06 - 07 - 08 - 09 - 10 - 11 - 14 - 15 - 19 - 20 - 22 - 25,4838673,8.681277,908201,1.629444,76965,0.138086,2367,0.004247,15,2.7e-05,Top20 combinatorio V2
Aleatorio,1,3595,13,53,01 - 02 - 03 - 05 - 06 - 07 - 08 - 09 - 11 - 12 - 14 - 17 - 19 - 20 - 23,320,8.9013,63,1.7524,8,0.2225,0,0.0,0,0.0,
